"","origincityLabel","origincountry","originlat","originlong","originpopulation","sistercityLabel","destinationlat","destinationlong","destinationpopulation","destination_countryLabel","dist","eu","samecountry","typecountry"
"1","Veliko Tarnovo","Bulgaria",43.082222222222,25.631666666667,71150,"Asti",44.9,8.2069444444444,76173,"Italy",1406,"EU","different","EU"
"2","Pernik","Bulgaria",42.609722222222,23.030833333333,75191,"Graz",47.066666666667,15.433333333333,282479,"Austria",777,"EU","different","EU"
"3","Veliko Tarnovo","Bulgaria",43.082222222222,25.631666666667,71150,"Toledo",39.866666666667,-4.0333333333333,83459,"Spain",2484,"EU","different","EU"
"4","Obzor","Bulgaria",42.823,27.8787,2125,"18th district of Budapest",47.43333333,19.16666667,101613,"Hungary",853,"EU","different","EU"
"5","Obzor","Bulgaria",42.823,27.8787,2125,"18th district of Budapest",47.43333333,19.16666667,101613,"Hungary",854,"EU","different","EU"
"6","Balchik","Bulgaria",43.407777777778,28.162222222222,12913,"Cieszyn",49.75,18.633333333333,36119,"Poland",1012,"EU","different","EU"
"7","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Chojna",52.966666666667,14.416666666667,NA,"Poland",1390,"EU","different","EU"
"8","Troyan","Bulgaria",42.884444444444,24.709444444444,22022,"Forlì",44.2225,12.040833333333,117859,"Italy",1031,"EU","different","EU"
"9","Sofia","Bulgaria",42.7,23.333333333333,1286383,"Helsinki",60.173333333333,24.948611111111,620982,"Finland",1946,"EU","different","EU"
"10","Dimitrovgrad","Bulgaria",42.061111111111,25.593333333333,38217,"Kalamaria",40.583333,22.95,91279,"Greece",275,"EU","different","EU"
"11","Smolyan","Bulgaria",41.575277777778,24.712777777778,30507,"Motril",36.745277777778,-3.5205555555556,60368,"Spain",2481,"EU","different","EU"
"12","Montana","Bulgaria",43.407777777778,23.225,44502,"Salvatierra/Agurain",42.8492849,-2.3890554,4985,"Spain",2071,"EU","different","EU"
"13","Balchik","Bulgaria",43.407777777778,28.162222222222,12913,"Hagfors",60.033333333333,13.65,5146,"Sweden",2091,"EU","different","EU"
"14","Blagoevgrad","Bulgaria",42.021944444444,23.0975,76811,"Serres",41.083333333333,23.55,58287,"Greece",111,"EU","different","EU"
"15","Yambol","Bulgaria",42.484444444444,26.508611111111,79771,"Dublin",53.3425,-6.2658333333333,527612,"Ireland",2693,"EU","different","EU"
"16","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Oxelösund",58.666666666667,17.116666666667,15085,"Sweden",1850,"EU","different","EU"
"17","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Prienai",54.633333333333,23.941666666667,NA,"Lithuania",1313,"EU","different","EU"
"18","Haskovo","Bulgaria",41.931111111111,25.5575,76587,"Alexandroupoli",40.85,25.866666666667,57812,"Greece",123,"EU","different","EU"
"19","Veliko Tarnovo","Bulgaria",43.082222222222,25.631666666667,71150,"Kraków",50.066666666667,19.95,761900,"Poland",889,"EU","different","EU"
"20","Veliko Tarnovo","Bulgaria",43.082222222222,25.631666666667,71150,"Sopron",47.684722222222,16.583055555556,61780,"Hungary",872,"EU","different","EU"
"21","Gabrovo","Bulgaria",42.871111111111,25.315,58950,"Nowy Sącz",49.623888888889,20.697222222222,NA,"Poland",830,"EU","different","EU"
"22","Dobrich","Bulgaria",43.566666666667,27.833333333333,91030,"Ferrara",44.835297,11.619865,132445,"Italy",1298,"EU","different","EU"
"23","Varna","Bulgaria",43.207777777778,27.916944444444,348058,"Barcelona",41.3825,2.1769444444444,1608746,"Spain",2118,"EU","different","EU"
"24","Varna","Bulgaria",43.207777777778,27.916944444444,348058,"Aalborg",57.05,9.9166666666667,112194,"Denmark",1991,"EU","different","EU"
"25","Sofia","Bulgaria",42.7,23.333333333333,1286383,"Vienna",48.20833,16.373064,1840573,"Austria",818,"EU","different","EU"
"26","Gabrovo","Bulgaria",42.871111111111,25.315,58950,"Panevėžys",55.725,24.363888888889,NA,"Lithuania",1431,"EU","different","EU"
"27","Pernik","Bulgaria",42.609722222222,23.030833333333,75191,"Orosei",40.379722222222,9.6941666666667,NA,"Italy",1137,"EU","different","EU"
"28","Haskovo","Bulgaria",41.931111111111,25.5575,76587,"Novara",45.45,8.6166666666667,104471,"Italy",1414,"EU","different","EU"
"29","Sofia","Bulgaria",42.7,23.333333333333,1286383,"Madrid",40.418888888889,-3.6919444444444,3165541,"Spain",2253,"EU","different","EU"
"30","Pazardzhik","Bulgaria",42.189166666667,24.331666666667,71979,"Tatabánya",47.58616,18.39485,66791,"Hungary",760,"EU","different","EU"
"31","Sofia","Bulgaria",42.7,23.333333333333,1286383,"Milan",45.464161,9.190336,1359905,"Italy",1169,"EU","different","EU"
"32","Smolyan","Bulgaria",41.575277777778,24.712777777778,30507,"Xanthi",41.133333333333,24.883333333333,56122,"Greece",51,"EU","different","EU"
"33","Shumen","Bulgaria",43.27,26.924444444444,80511,"Debrecen",47.53,21.639166666667,203506,"Hungary",628,"EU","different","EU"
"34","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Preveza",38.95,20.75,19042,"Greece",590,"EU","different","EU"
"35","Varna","Bulgaria",43.207777777778,27.916944444444,348058,"Kavala",40.935555555556,24.409166666667,70501,"Greece",384,"EU","different","EU"
"36","Gorna Oryahovitsa","Bulgaria",43.122222222222,25.689722222222,32792,"Szigetszentmiklós",47.345277777778,19.048333333333,35656,"Hungary",700,"EU","different","EU"
"37","Sliven","Bulgaria",42.680833333333,26.316388888889,89848,"Pécs",46.083333333333,18.216666666667,145985,"Hungary",746,"EU","different","EU"
"38","Varna","Bulgaria",43.207777777778,27.916944444444,348058,"Piraeus",37.966666666667,23.633333333333,163910,"Greece",686,"EU","different","EU"
"39","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Bellagio",45.9875,9.2619444444444,NA,"Italy",1332,"EU","different","EU"
"40","Karlovo","Bulgaria",42.643034,24.805346,27659,"Konin",52.216666666667,18.266666666667,NA,"Poland",1171,"EU","different","EU"
"41","Varna","Bulgaria",43.207777777778,27.916944444444,348058,"Turku",60.451666666667,22.27,186014,"Finland",1954,"EU","different","EU"
"42","Asenovgrad","Bulgaria",42.006944444444,24.875555555556,55323,"Naousa",40.630555555556,22.064166666667,18882,"Greece",280,"EU","different","EU"
"43","Targovishte","Bulgaria",43.246666666667,26.571944444444,37642,"Kozani",40.3,21.783333333333,55926,"Greece",515,"EU","different","EU"
"44","Dimitrovgrad","Bulgaria",42.061111111111,25.593333333333,38217,"Kazincbarcika",48.253055555556,20.645555555556,27487,"Hungary",790,"EU","different","EU"
"45","Plovdiv","Bulgaria",42.143333333333,24.748888888889,333206,"Thessaloniki",40.633333333333,22.95,385406,"Greece",225,"EU","different","EU"
"46","Silistra","Bulgaria",44.118611111111,27.260277777778,35230,"Dunaújváros",46.983333333333,18.916666666667,46052,"Hungary",723,"EU","different","EU"
"47","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Houffalize",50.13202,5.78936,NA,"Belgium",1703,"EU","different","EU"
"48","Pernik","Bulgaria",42.609722222222,23.030833333333,75191,"Milan",45.464161,9.190336,1359905,"Italy",1149,"EU","different","EU"
"49","Haskovo","Bulgaria",41.931111111111,25.5575,76587,"Veszprém",47.1,17.916666666667,60761,"Hungary",834,"EU","different","EU"
"50","Varna","Bulgaria",43.207777777778,27.916944444444,348058,"Szeged",46.25,20.166666666667,162593,"Hungary",699,"EU","different","EU"
"51","Burgas","Bulgaria",42.5,27.466666666667,206371,"Miskolc",48.1044444,20.7897222,159554,"Hungary",812,"EU","different","EU"
"52","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Altea",38.6,-0.048888888888889,21739,"Spain",2195,"EU","different","EU"
"53","Plovdiv","Bulgaria",42.143333333333,24.748888888889,333206,"Poznań",52.4,16.916666666667,544612,"Poland",1283,"EU","different","EU"
"54","Varna","Bulgaria",43.207777777778,27.916944444444,348058,"Malmö Municipality",55.583333333333,13.033333333333,NA,"Sweden",1740,"EU","different","EU"
"55","Sofia","Bulgaria",42.7,23.333333333333,1286383,"Brussels-Capital Region",50.85,4.35,1183545,"Belgium",1699,"EU","different","EU"
"56","Sofia","Bulgaria",42.7,23.333333333333,1286383,"Brussels",50.846666666667,4.3525,1175000,"Belgium",1698,"EU","different","EU"
"57","Kazanlak","Bulgaria",42.616666666667,25.4,50000,"Veroia",40.520277777778,22.201944444444,43158,"Greece",354,"EU","different","EU"
"58","Gorna Oryahovitsa","Bulgaria",43.122222222222,25.689722222222,31437,"Szigetszentmiklós",47.345277777778,19.048333333333,35656,"Hungary",700,"EU","different","EU"
"59","Lovech","Bulgaria",43.134166666667,24.717222222222,39316,"Valladolid",41.651980555556,-4.7285611111111,301876,"Spain",2411,"EU","different","EU"
"60","Ruse","Bulgaria",43.8475,25.954444444444,166056,"Peristeri",38.016666666667,23.683333333333,NA,"Greece",676,"EU","different","EU"
"61","Pazardzhik","Bulgaria",42.189166666667,24.331666666667,71979,"Salerno",40.680555555556,14.759722222222,135066,"Italy",815,"EU","different","EU"
"62","Gabrovo","Bulgaria",42.871111111111,25.315,58950,"Aalst",50.933333333333,4.0333333333333,78271,"Belgium",1839,"EU","different","EU"
"63","Gabrovo","Bulgaria",42.871111111111,25.315,58950,"Kavala",40.935555555556,24.409166666667,70501,"Greece",228,"EU","different","EU"
"64","Sofia","Bulgaria",42.7,23.333333333333,1286383,"Athens",38,23.716666666667,664046,"Greece",524,"EU","different","EU"
"65","Nesebar","Bulgaria",42.660833333333,27.713888888889,13866,"18th district of Budapest",47.43333333,19.16666667,101613,"Hungary",855,"EU","different","EU"
"66","Blagoevgrad","Bulgaria",42.021944444444,23.0975,76811,"Lecce",40.352011111111,18.169138888889,94892,"Italy",452,"EU","different","EU"
"67","Kazanlak","Bulgaria",42.616666666667,25.4,50000,"Nagykanizsa",46.455833333333,16.9975,48241,"Hungary",790,"EU","different","EU"
"68","Yambol","Bulgaria",42.484444444444,26.508611111111,79771,"Sieradz",51.6,18.75,NA,"Poland",1170,"EU","different","EU"
"69","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Bundoran",54.4754,-8.2838,NA,"Ireland",2759,"EU","different","EU"
"70","Haskovo","Bulgaria",41.931111111111,25.5575,76587,"Wieden",48.189444444444,16.361666666667,NA,"Austria",1002,"EU","different","EU"
"71","Pleven","Bulgaria",43.407777777778,24.620277777778,110520,"Edessa",40.8,22.05,18229,"Greece",359,"EU","different","EU"
"72","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Niederanven",49.651388888889,6.2555555555556,5737,"Luxembourg",1654,"EU","different","EU"
"73","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Karkkila",60.534722222222,24.209722222222,8969,"Finland",1966,"EU","different","EU"
"74","Varna","Bulgaria",43.207777777778,27.916944444444,348058,"Wels",48.15,14.016666666667,60399,"Austria",1209,"EU","different","EU"
"75","Varna","Bulgaria",43.207777777778,27.916944444444,348058,"Genoa",44.407186111111,8.9339833333333,588688,"Italy",1526,"EU","different","EU"
"76","Pernik","Bulgaria",42.609722222222,23.030833333333,75191,"Lublin",51.233333333333,22.566666666667,324637,"Poland",959,"EU","different","EU"
"77","Stara Zagora","Bulgaria",42.424722222222,25.625555555556,138272,"Radom",51.403611111111,21.156666666667,219703,"Poland",1054,"EU","different","EU"
"78","Burgas","Bulgaria",42.5,27.466666666667,206371,"Miskolc",48.105555555556,20.783333333333,159554,"Hungary",812,"EU","different","EU"
"79","Pleven","Bulgaria",43.407777777778,24.620277777778,110520,"Volos",39.366666666667,22.933333333333,86046,"Greece",471,"EU","different","EU"
"80","Dobrich","Bulgaria",43.566666666667,27.833333333333,91030,"Zalaegerszeg",46.839166666667,16.851111111111,58959,"Hungary",933,"EU","different","EU"
"81","Svishtov","Bulgaria",43.618611111111,25.343888888889,31418,"Dębica",50.05,21.416666666667,NA,"Poland",775,"EU","different","EU"
"82","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Holstebro",56.366666666667,8.6166666666667,35392,"Denmark",1921,"EU","different","EU"
"83","Asenovgrad","Bulgaria",42.006944444444,24.875555555556,55323,"Kilkis",40.9954,22.8765,22914,"Greece",201,"EU","different","EU"
"84","Pernik","Bulgaria",42.609722222222,23.030833333333,75191,"Heraklion",35.333333333333,25.133333333333,140730,"Greece",829,"EU","different","EU"
"85","Blagoevgrad","Bulgaria",42.021944444444,23.0975,76811,"Székesfehérvár",47.2,18.416666666667,98673,"Hungary",684,"EU","different","EU"
"86","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Judenburg",47.1725,14.660277777778,10195,"Austria",975,"EU","different","EU"
"87","Teteven","Bulgaria",42.917777777778,24.265833333333,10077,"Ladispoli",41.954444444444,12.074166666667,NA,"Italy",1005,"EU","different","EU"
"88","Aksakovo","Bulgaria",43.25,27.816666666667,8042,"Igualada",41.581388888889,1.6208333333333,38987,"Spain",2150,"EU","different","EU"
"89","Veliko Tarnovo","Bulgaria",43.082222222222,25.631666666667,71150,"Serres",41.083333333333,23.55,58287,"Greece",281,"EU","different","EU"
"90","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Kőszeg",47.381666666667,16.551944444444,11702,"Hungary",862,"EU","different","EU"
"91","Haskovo","Bulgaria",41.931111111111,25.5575,76587,"Enguera",38.9802279,-0.6891945,5027,"Spain",2236,"EU","different","EU"
"92","Sofia","Bulgaria",42.7,23.333333333333,1286383,"Warsaw",52.216666666667,21.033333333333,1748916,"Poland",1072,"EU","different","EU"
"93","Tvarditsa","Bulgaria",42.701666666667,25.8975,6091,"Budapest District XXIII",47.396389,19.131111,22833,"Hungary",744,"EU","different","EU"
"94","Burgas","Bulgaria",42.5,27.466666666667,206371,"Alexandroupoli",40.85,25.866666666667,57812,"Greece",227,"EU","different","EU"
"95","Ruse","Bulgaria",43.8475,25.954444444444,166056,"Giurgiu",43.9,25.966666666667,61353,"Romania",6,"EU","different","EU"
"96","Vratsa","Bulgaria",43.2,23.55,60877,"Frankfurt (Oder)",52.35,14.55,58018,"Germany",1218,"EU","different","EU"
"97","Veliko Tarnovo","Bulgaria",43.082222222222,25.631666666667,71150,"Zadar",44.116666666667,15.216666666667,75082,"Croatia",846,"EU","different","EU"
"98","Pernik","Bulgaria",42.609722222222,23.030833333333,75191,"Caen",49.182222222222,-0.37055555555556,107229,"France",1943,"EU","different","EU"
"99","Shumen","Bulgaria",43.27,26.924444444444,80511,"Tulcea",45.19,28.8,73707,"Romania",261,"EU","different","EU"
"100","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Siret",47.95,26.06,7976,"Romania",567,"EU","different","EU"
"101","Pleven","Bulgaria",43.407777777778,24.620277777778,110520,"Guimarães",41.445,-8.2908333333333,158124,"Portugal",2692,"EU","different","EU"
"102","Smolyan","Bulgaria",41.575277777778,24.712777777778,30507,"Võru",57.848611111111,26.992777777778,12458,"Estonia",1817,"EU","different","EU"
"103","Varna","Bulgaria",43.207777777778,27.916944444444,348058,"Vysoké Mýto",49.953240035812,16.161752006464,12390,"Czech Republic",1168,"EU","different","EU"
"104","Veliko Tarnovo","Bulgaria",43.082222222222,25.631666666667,71150,"Iași",47.162222222222,27.588888888889,290422,"Romania",479,"EU","different","EU"
"105","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Türi",58.809444444444,25.429166666667,5257,"Estonia",1773,"EU","different","EU"
"106","Pernik","Bulgaria",42.609722222222,23.030833333333,75191,"Ovar",40.866666666667,-8.6333333333333,NA,"Portugal",2619,"EU","different","EU"
"107","Montana","Bulgaria",43.407777777778,23.225,44502,"Kassel",51.319722222222,9.4977777777778,197984,"Germany",1354,"EU","different","EU"
"108","Kazanlak","Bulgaria",42.616666666667,25.4,50000,"Saint-Herblain",47.211388888889,-1.6511111111111,43784,"France",2179,"EU","different","EU"
"109","Silistra","Bulgaria",44.118611111111,27.260277777778,35230,"Călărași",44.2,27.333333333333,65181,"Romania",11,"EU","different","EU"
"110","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Zvolen",48.583055555556,19.133055555556,43100,"Slovakia",804,"EU","different","EU"
"111","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Škofja Loka",46.166666666667,14.3,NA,"Slovenia",959,"EU","different","EU"
"112","Yambol","Bulgaria",42.484444444444,26.508611111111,79771,"Villejuif",48.793888888889,2.3611111111111,57184,"France",1994,"EU","different","EU"
"113","Balchik","Bulgaria",43.407777777778,28.162222222222,12913,"Mangalia",43.817222222222,28.582777777778,36364,"Romania",57,"EU","different","EU"
"114","Pernik","Bulgaria",42.609722222222,23.030833333333,75191,"Cardiff",51.48,-3.18,346100,"United Kingdom",2201,"EU","different","EU"
"115","Lovech","Bulgaria",43.134166666667,24.717222222222,39316,"Erfurt",50.978055555556,11.029166666667,210118,"Germany",1351,"EU","different","EU"
"116","Pleven","Bulgaria",43.407777777778,24.620277777778,110520,"Brăila",45.269166666667,27.9575,180302,"Romania",337,"EU","different","EU"
"117","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Sherborne",50.9491,-2.5183,9350,"United Kingdom",2292,"EU","different","EU"
"118","Panagyurishte","Bulgaria",42.504722222222,24.189166666667,18487,"Aue",50.588055555556,12.700555555556,16349,"Germany",1254,"EU","different","EU"
"119","Sofia","Bulgaria",42.7,23.333333333333,1286383,"Bucharest",44.4,26.083333333333,1883425,"Romania",291,"EU","different","EU"
"120","Plovdiv","Bulgaria",42.143333333333,24.748888888889,333206,"Košice",48.716666666667,21.25,NA,"Slovakia",780,"EU","different","EU"
"121","Varna","Bulgaria",43.207777777778,27.916944444444,348058,"Lyon",45.758888888889,4.8413888888889,500716,"France",1846,"EU","different","EU"
"122","Ruse","Bulgaria",43.8475,25.954444444444,166056,"Bratislava",48.144722222222,17.112777777778,625167,"Slovakia",833,"EU","different","EU"
"123","Balchik","Bulgaria",43.407777777778,28.162222222222,12913,"Stará Ľubovňa",49.316666666667,20.683333333333,NA,"Slovakia",871,"EU","different","EU"
"124","Gabrovo","Bulgaria",42.871111111111,25.315,58950,"Prešov",49,21.233333333333,91498,"Slovakia",751,"EU","different","EU"
"125","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Granville",48.838055555556,-1.5869444444444,13104,"France",2186,"EU","different","EU"
"126","Montana","Bulgaria",43.407777777778,23.225,44502,"Schmalkalden",50.716666666667,10.45,19291,"Germany",1261,"EU","different","EU"
"127","Pernik","Bulgaria",42.609722222222,23.030833333333,75191,"Magdeburg",52.133333333333,11.616666666667,235723,"Germany",1361,"EU","different","EU"
"128","Varna","Bulgaria",43.207777777778,27.916944444444,348058,"Rostock",54.083333333333,12.133333333333,206011,"Germany",1668,"EU","different","EU"
"129","Plovdiv","Bulgaria",42.143333333333,24.748888888889,333206,"Leipzig",51.333333333333,12.383333333333,575979,"Germany",1386,"EU","different","EU"
"130","Haskovo","Bulgaria",41.931111111111,25.5575,76587,"Viseu",40.666666666667,-7.9166666666667,NA,"Portugal",2782,"EU","different","EU"
"131","Haskovo","Bulgaria",41.931111111111,25.5575,76587,"Châtillon-sur-Indre",46.987777777778,1.1736111111111,2706,"France",2006,"EU","different","EU"
"132","Veliko Tarnovo","Bulgaria",43.082222222222,25.631666666667,71150,"Bayonne",43.4925,-1.4763888888889,47492,"France",2185,"EU","different","EU"
"133","Sofia","Bulgaria",42.7,23.333333333333,1286383,"Karlovac",45.493055555556,15.555833333333,55705,"Croatia",694,"EU","different","EU"
"134","Sofia","Bulgaria",42.7,23.333333333333,1286383,"Ílhavo",40.6,-8.6666666666667,NA,"Portugal",2653,"EU","different","EU"
"135","Pleven","Bulgaria",43.407777777778,24.620277777778,110520,"Kaiserslautern",49.444722222222,7.7688888888889,NA,"Germany",1451,"EU","different","EU"
"136","Stara Zagora","Bulgaria",42.424722222222,25.625555555556,138272,"Barreiro",38.666666666667,-9.1,NA,"Portugal",2943,"EU","different","EU"
"137","Stara Zagora","Bulgaria",42.424722222222,25.625555555556,138272,"Barreiro",38.664166666667,-9.0766666666667,NA,"Portugal",2941,"EU","different","EU"
"138","Silistra","Bulgaria",44.118611111111,27.260277777778,35230,"Slobozia",44.563888888889,27.366111111111,45891,"Romania",50,"EU","different","EU"
"139","Targovishte","Bulgaria",43.246666666667,26.571944444444,37642,"Santa Maria da Feira Municipality",40.933333333333,-8.5333333333333,NA,"Portugal",2887,"EU","different","EU"
"140","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Sesimbra Municipality",38.433333333333,-9.1,NA,"Portugal",2938,"EU","different","EU"
"141","Svishtov","Bulgaria",43.618611111111,25.343888888889,31418,"Barcelos Municipality",41.533333333333,-8.6166666666667,NA,"Portugal",2771,"EU","different","EU"
"142","Razgrad","Bulgaria",43.526666666667,26.524166666667,35007,"Călărași",44.2,27.333333333333,65181,"Romania",99,"EU","different","EU"
"143","Dobrich","Bulgaria",43.566666666667,27.833333333333,91030,"Constanța",44.173333333333,28.638333333333,283872,"Romania",93,"EU","different","EU"
"144","Gabrovo","Bulgaria",42.871111111111,25.315,58950,"Sisak",45.487777777778,16.374166666667,NA,"Croatia",769,"EU","different","EU"
"145","Smolyan","Bulgaria",41.575277777778,24.712777777778,30507,"Suhl",50.610555555556,10.693055555556,36208,"Germany",1471,"EU","different","EU"
"146","Lovech","Bulgaria",43.134166666667,24.717222222222,39316,"Laval",48.072777777778,-0.77,50479,"France",2047,"EU","different","EU"
"147","Kazanlak","Bulgaria",42.616666666667,25.4,50000,"Les Gras",46.994722222222,6.5444444444444,803,"France",1561,"EU","different","EU"
"148","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Marsaskala",35.8625,14.5675,12134,"Malta",1218,"EU","different","EU"
"149","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Bad Kötzting",49.176944444444,12.855,6805,"Germany",1199,"EU","different","EU"
"150","Sliven","Bulgaria",42.680833333333,26.316388888889,89848,"Alba Iulia",46.076388888889,23.572777777778,63536,"Romania",436,"EU","different","EU"
"151","Vratsa","Bulgaria",43.2,23.55,60877,"Villeneuve-le-Roi",48.734444444444,2.4108333333333,20481,"France",1739,"EU","different","EU"
"152","Panagyurishte","Bulgaria",42.504722222222,24.189166666667,18487,"Aue",50.58805556,12.70055556,16349,"Germany",1254,"EU","different","EU"
"153","Varna","Bulgaria",43.207777777778,27.916944444444,348058,"Washington",54.9,-1.52,NA,"United Kingdom",2481,"EU","different","EU"
"154","Haskovo","Bulgaria",41.931111111111,25.5575,76587,"Leicester",52.633333333333,-1.1333333333333,NA,"United Kingdom",2319,"EU","different","EU"
"155","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Sušice",49.231161465796,13.520207848015,11127,"Czech Republic",1161,"EU","different","EU"
"156","Pernik","Bulgaria",42.609722222222,23.030833333333,75191,"Ljubljana",46.05,14.516666666667,287000,"Slovenia",777,"EU","different","EU"
"157","Pernik","Bulgaria",42.609722222222,23.030833333333,75191,"Pardubice",50.016666666667,15.766666666667,90044,"Czech Republic",994,"EU","different","EU"
"158","Melnik, Bulgaria","Bulgaria",41.523333333333,23.390833333333,274,"Mělník",50.35057067972,14.474193495734,19295,"Czech Republic",1198,"EU","different","EU"
"159","Yambol","Bulgaria",42.484444444444,26.508611111111,79771,"Târgu Jiu",45.034166666667,23.274722222222,82504,"Romania",384,"EU","different","EU"
"160","General Toshevo","Bulgaria",43.700555555556,28.036666666667,6835,"Mangalia",43.817222222222,28.582777777778,36364,"Romania",46,"EU","different","EU"
"161","Sofia","Bulgaria",42.7,23.333333333333,1286383,"Berlin",52.516666666667,13.383333333333,3469849,"Germany",1319,"EU","different","EU"
"162","Blagoevgrad","Bulgaria",42.021944444444,23.0975,76811,"Žilina",49.216666666667,18.733333333333,NA,"Slovakia",869,"EU","different","EU"
"163","Montana","Bulgaria",43.407777777778,23.225,44502,"Banská Bystrica",48.735555555556,19.145277777778,NA,"Slovakia",671,"EU","different","EU"
"164","Targovishte","Bulgaria",43.246666666667,26.571944444444,37642,"Târgoviște",44.924166666667,25.456666666667,79610,"Romania",207,"EU","different","EU"
"165","Targovishte","Bulgaria",43.246666666667,26.571944444444,37642,"Cottbus",51.760555555556,14.334166666667,99595,"Germany",1316,"EU","different","EU"
"166","Sofia","Bulgaria",42.7,23.333333333333,1286383,"London",51.507222222222,-0.1275,8416535,"United Kingdom",2015,"EU","different","EU"
"167","Balchik","Bulgaria",43.407777777778,28.162222222222,12913,"Bran",45.516111,25.369444,5181,"Romania",323,"EU","different","EU"
"168","Haskovo","Bulgaria",41.931111111111,25.5575,76587,"Koblenz",50.359722222222,7.5977777777778,112586,"Germany",1664,"EU","different","EU"
"169","Gabrovo","Bulgaria",42.871111111111,25.315,58950,"Mittweida",50.985555555556,12.981111111111,16619,"Germany",1297,"EU","different","EU"
"170","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Agros",34.916666666667,33.016666666667,806,"Cyprus",1097,"EU","different","EU"
"171","Sofia","Bulgaria",42.7,23.333333333333,1286383,"Prague",50.088611111111,14.421388888889,1280508,"Czech Republic",1067,"EU","different","EU"
"172","Varna","Bulgaria",43.207777777778,27.916944444444,348058,"Liverpool",53.416666666667,-3,466415,"United Kingdom",2526,"EU","different","EU"
"173","Vratsa","Bulgaria",43.2,23.55,60877,"Craiova",44.333333333333,23.816666666667,269506,"Romania",128,"EU","different","EU"
"174","Varna","Bulgaria",43.207777777778,27.916944444444,348058,"Hamburg",53.55,10,1787408,"Germany",1744,"EU","different","EU"
"175","Razgrad","Bulgaria",43.526666666667,26.524166666667,35007,"Wittenberge",53,11.75,NA,"Germany",1513,"EU","different","EU"
"176","Silistra","Bulgaria",44.118611111111,27.260277777778,35230,"Dresden",51.033333333333,13.733333333333,531982,"Germany",1270,"EU","different","EU"
"177","Sofia","Bulgaria",42.7,23.333333333333,1286383,"Bratislava",48.144722222222,17.112777777778,625167,"Slovakia",775,"EU","different","EU"
"178","Sliven","Bulgaria",42.680833333333,26.316388888889,89848,"Gera",50.880555555556,12.083333333333,96011,"Germany",1412,"EU","different","EU"
"179","Targovishte","Bulgaria",43.246666666667,26.571944444444,37642,"Suresnes",48.871111111111,2.2269444444444,48066,"France",1970,"EU","different","EU"
"180","Veliko Tarnovo","Bulgaria",43.082222222222,25.631666666667,71150,"Tarxien",35.865,14.511111111111,8583,"Malta",1245,"EU","different","EU"
"181","Pernik","Bulgaria",42.609722222222,23.030833333333,75191,"Split",43.51,16.45,178102,"Croatia",544,"EU","different","EU"
"182","Kavarna","Bulgaria",43.433333333333,28.338888888889,11888,"Michalovce",48.7575,21.918333333333,39719,"Slovakia",771,"EU","different","EU"
"183","Tryavna","Bulgaria",42.866666666667,25.491944444444,9831,"Sigulda",57.153888888889,24.854444444444,11821,"Latvia",1589,"EU","different","EU"
"184","Plovdiv","Bulgaria",42.143333333333,24.748888888889,333206,"Brno",49.195277777778,16.608333333333,377973,"Czech Republic",1006,"EU","different","EU"
"185","Shumen","Bulgaria",43.27,26.924444444444,80511,"Mâcon",46.306666666667,4.8319444444444,33350,"France",1770,"EU","different","EU"
"186","Dobrich","Bulgaria",43.566666666667,27.833333333333,91030,"Izmail",45.35,28.833333333333,NA,"Ukraine",214,"Non-EU","different","Non-EU"
"187","Nova Zagora","Bulgaria",42.490277777778,26.012222222222,23949,"Taraclia",45.9,28.668888888889,14900,"Moldova",434,"Non-EU","different","Non-EU"
"188","Gabrovo","Bulgaria",42.871111111111,25.315,58950,"Chernihiv",51.5,31.3,299609,"Ukraine",1060,"Non-EU","different","Non-EU"
"189","Sofia","Bulgaria",42.7,23.333333333333,1286383,"Moscow",55.755833333333,37.617777777778,12380664,"Russia",1777,"Non-EU","different","Non-EU"
